indicator_code,indicator_label,spatial_level,region_or_country,year,numeric_value,value,ci_low,ci_high,disagg_dim1,disagg_dim1_code,source_file,TimeDimensionBegin,TimeDimensionEnd,Region name,Category
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2017,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2017,12/31/2017,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2017,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2017,12/31/2017,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2017,94.28571,94,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2017,12/31/2017,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2018,8.57143,9,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2018,12/31/2018,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2018,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2018,12/31/2018,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2018,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2018,12/31/2018,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2018,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2018,12/31/2018,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2018,91.42857,91,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2018,12/31/2018,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2019,11.42857,11,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2019,12/31/2019,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2019,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2019,12/31/2019,Americas,Coordination
